0,1,2,3,4,5,6,7,8,9,10
hamburger meat,whole milk,,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
brown bread,pot plants,,,,,,,,,
root vegetables,liquor,sliced cheese,,,,,,,,
yogurt,other vegetables,soft cheese,salt,,,,,,,
pastry,shopping bags,sugar,,,,,,,,
pastry,snack products,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
brown bread,canned beer,,,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
pip fruit,pasta,,,,,,,,,
brown bread,pastry,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
salt,seasonal products,,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
popcorn,butter,,,,,,,,,
whole milk,sausage,pastry,spices,soda,,,,,,
rolls/buns,oil,chocolate,,,,,,,,
grapes,other vegetables,,,,,,,,,
pork,long life bakery product,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
frankfurter,white bread,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
dog food,processed cheese,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
semi-finished bread,margarine,butter,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
yogurt,other vegetables,,,,,,,,,
brown bread,brown bread,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
root vegetables,whole milk,whole milk,newspapers,bottled water,,,,,,
pip fruit,pastry,,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
other vegetables,butter,,,,,,,,,
misc. beverages,oil,,,,,,,,,
pork,citrus fruit,,,,,,,,,
prosecco,chewing gum,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
sausage,domestic eggs,,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
whole milk,red/blush wine,newspapers,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
butter,chocolate,,,,,,,,,
newspapers,salty snack,,,,,,,,,
whole milk,berries,bottled water,curd,napkins,,,,,,
yogurt,frozen meals,,,,,,,,,
whole milk,rolls/buns,soda,,,,,,,,
pork,oil,,,,,,,,,
liquor,bottled beer,other vegetables,,,,,,,,
frankfurter,brown bread,,,,,,,,,
other vegetables,whole milk,softener,,,,,,,,
cream cheese ,long life bakery product,pastry,,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
yogurt,pastry,,,,,,,,,
newspapers,coffee,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
chocolate,white wine,,,,,,,,,
brown bread,oil,,,,,,,,,
root vegetables,herbs,cream cheese ,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
sausage,beverages,,,,,,,,,
oil,curd,,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
yogurt,other vegetables,,,,,,,,,
pet care,soda,,,,,,,,,
whole milk,dish cleaner,,,,,,,,,
root vegetables,grapes,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,pastry,,,,,,,,,
rice,chewing gum,rolls/buns,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
photo/film,pork,liquor,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
curd,brown bread,,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
coffee,sugar,,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
soda,soda,domestic eggs,,,,,,,,
candy,rolls/buns,coffee,yogurt,,,,,,,
soda,yogurt,,,,,,,,,
whole milk,white wine,,,,,,,,,
pastry,brown bread,whisky,,,,,,,,
beverages,dessert,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,butter milk,long life bakery product,,,,,,,,
canned beer,yogurt,,,,,,,,,
butter,shopping bags,,,,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
bottled beer,whole milk,UHT-milk,chocolate,,,,,,,
cat food,pet care,oil,,,,,,,,
other vegetables,yogurt,,,,,,,,,
waffles,yogurt,,,,,,,,,
shopping bags,white wine,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
coffee,beef,dishes,brown bread,pastry,,,,,,
beverages,domestic eggs,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
berries,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
citrus fruit,onions,,,,,,,,,
sausage,snack products,rolls/buns,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
whole milk,waffles,chocolate,,,,,,,,
rolls/buns,waffles,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
whole milk,beef,tropical fruit,tropical fruit,whole milk,domestic eggs,coffee,other vegetables,,,
root vegetables,hard cheese,,,,,,,,,
meat,rolls/buns,,,,,,,,,
UHT-milk,salt,,,,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
frankfurter,salt,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
citrus fruit,whole milk,rolls/buns,liquor,tropical fruit,,,,,,
root vegetables,pet care,,,,,,,,,
mustard,shopping bags,shopping bags,,,,,,,,
chicken,whole milk,specialty bar,,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
brown bread,whole milk,white bread,,,,,,,,
rolls/buns,instant coffee,UHT-milk,margarine,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
red/blush wine,salty snack,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pot plants,grapes,brown bread,other vegetables,kitchen towels,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
white wine,fruit/vegetable juice,,,,,,,,,
meat,whole milk,,,,,,,,,
seasonal products,white bread,specialty chocolate,soda,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
frozen dessert,cream cheese ,,,,,,,,,
sugar,coffee,cream cheese ,bottled water,,,,,,,
white bread,rolls/buns,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,herbs,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,male cosmetics,,,,,,,,,
frozen meals,onions,frozen vegetables,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
salty snack,yogurt,,,,,,,,,
butter milk,white wine,,,,,,,,,
beverages,salt,,,,,,,,,
margarine,margarine,,,,,,,,,
hamburger meat,pastry,brown bread,,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
soda,white bread,frozen vegetables,,,,,,,,
tropical fruit,root vegetables,candy,yogurt,rolls/buns,,,,,,
yogurt,misc. beverages,brown bread,napkins,,,,,,,
other vegetables,bottled water,,,,,,,,,
ham,yogurt,,,,,,,,,
sausage,bottled water,,,,,,,,,
pork,whole milk,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sparkling wine,butter,,,,,,,,,
bottled beer,white wine,candles,,,,,,,,
tropical fruit,sausage,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
pork,pastry,candy,,,,,,,,
UHT-milk,beverages,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
processed cheese,yogurt,,,,,,,,,
sugar,red/blush wine,,,,,,,,,
cat food,candles,whole milk,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,citrus fruit,root vegetables,whipped/sour cream,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
yogurt,hygiene articles,,,,,,,,,
citrus fruit,berries,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
citrus fruit,chicken,bottled water,rolls/buns,,,,,,,
ham,tropical fruit,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
yogurt,citrus fruit,ice cream,soups,,,,,,,
whole milk,flour,,,,,,,,,
margarine,sweet spreads,,,,,,,,,
sausage,cat food,,,,,,,,,
fruit/vegetable juice,seasonal products,,,,,,,,,
berries,processed cheese,,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
margarine,rolls/buns,root vegetables,,,,,,,,
whipped/sour cream,shopping bags,rolls/buns,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
other vegetables,hygiene articles,dessert,margarine,fruit/vegetable juice,hygiene articles,,,,,
hamburger meat,hygiene articles,,,,,,,,,
ham,yogurt,bottled water,,,,,,,,
berries,bottled beer,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
citrus fruit,rolls/buns,whole milk,brown bread,,,,,,,
whole milk,salty snack,,,,,,,,,
butter,pastry,,,,,,,,,
pork,rolls/buns,yogurt,brown bread,,,,,,,
whole milk,pastry,liquor,,,,,,,,
chocolate,butter,,,,,,,,,
tropical fruit,rice,,,,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
sausage,sliced cheese,,,,,,,,,
root vegetables,berries,other vegetables,hygiene articles,white bread,whipped/sour cream,,,,,
whole milk,margarine,rolls/buns,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
bottled water,yogurt,,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
other vegetables,napkins,,,,,,,,,
rolls/buns,butter,,,,,,,,,
beef,cat food,,,,,,,,,
shopping bags,butter milk,,,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
herbs,pip fruit,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
Instant food products,bottled beer,butter,,,,,,,,
tropical fruit,soda,,,,,,,,,
canned beer,baking powder,,,,,,,,,
sugar,shopping bags,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
UHT-milk,brown bread,,,,,,,,,
canned beer,soda,,,,,,,,,
whole milk,sugar,,,,,,,,,
long life bakery product,butter,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
meat,frozen meals,whole milk,domestic eggs,,,,,,,
meat spreads,shopping bags,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
pastry,whole milk,,,,,,,,,
beef,roll products ,,,,,,,,,
tropical fruit,chicken,,,,,,,,,
dessert,margarine,,,,,,,,,
skin care,oil,,,,,,,,,
frozen meals,dish cleaner,,,,,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
napkins,dessert,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
whipped/sour cream,photo/film,,,,,,,,,
spread cheese,yogurt,frozen vegetables,,,,,,,,
fruit/vegetable juice,chewing gum,,,,,,,,,
beef,ice cream,rolls/buns,pip fruit,whole milk,fruit/vegetable juice,UHT-milk,,,,
sauces,frozen meals,,,,,,,,,
cookware,other vegetables,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
pork,chicken,other vegetables,curd,hard cheese,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
margarine,beverages,,,,,,,,,
UHT-milk,roll products ,salt,,,,,,,,
dessert,soda,,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
tropical fruit,domestic eggs,vinegar,whipped/sour cream,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
sausage,butter,,,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
red/blush wine,butter,soda,,,,,,,,
citrus fruit,hamburger meat,tea,root vegetables,sugar,shopping bags,,,,,
dessert,rice,,,,,,,,,
dessert,sugar,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
flower (seeds),bottled water,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,cake bar,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
other vegetables,coffee,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
curd,soda,whole milk,,,,,,,,
sugar,berries,seasonal products,bottled beer,,,,,,,
newspapers,rolls/buns,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
snack products,mayonnaise,bottled water,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
ice cream,margarine,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
chewing gum,beef,domestic eggs,,,,,,,,
root vegetables,whipped/sour cream,shopping bags,,,,,,,,
rolls/buns,pastry,,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
candy,spread cheese,,,,,,,,,
root vegetables,candy,,,,,,,,,
salt,domestic eggs,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
dessert,curd,,,,,,,,,
beef,margarine,,,,,,,,,
canned beer,whole milk,,,,,,,,,
pork,beef,yogurt,,,,,,,,
herbs,brown bread,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
bottled water,whipped/sour cream,,,,,,,,,
citrus fruit,whipped/sour cream,liquor,,,,,,,,
dessert,pickled vegetables,,,,,,,,,
bottled beer,rolls/buns,whole milk,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,canned fish,,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
domestic eggs,cat food,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
red/blush wine,pork,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
tropical fruit,pudding powder,,,,,,,,,
turkey,packaged fruit/vegetables,,,,,,,,,
citrus fruit,yogurt,citrus fruit,sausage,hard cheese,napkins,margarine,cream cheese ,,,
frankfurter,other vegetables,,,,,,,,,
root vegetables,rolls/buns,shopping bags,,,,,,,,
canned beer,dessert,,,,,,,,,
dessert,yogurt,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
yogurt,sauces,,,,,,,,,
margarine,canned beer,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
rolls/buns,specialty chocolate,napkins,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
hamburger meat,rolls/buns,brown bread,,,,,,,,
sausage,finished products,whole milk,yogurt,pastry,sliced cheese,onions,chewing gum,,,
bottled water,napkins,pastry,,,,,,,,
pork,berries,,,,,,,,,
pastry,napkins,shopping bags,margarine,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
sausage,chocolate,,,,,,,,,
ice cream,beef,yogurt,canned beer,,,,,,,
shopping bags,shopping bags,,,,,,,,,
canned beer,whipped/sour cream,pastry,,,,,,,,
onions,waffles,bottled beer,,,,,,,,
beef,berries,,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
frankfurter,syrup,,,,,,,,,
dessert,dental care,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
rolls/buns,other vegetables,chewing gum,,,,,,,,
finished products,rolls/buns,,,,,,,,,
canned beer,newspapers,,,,,,,,,
whole milk,baking powder,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
other vegetables,soda,brown bread,whole milk,yogurt,cling film/bags,brown bread,pastry,,,
soda,domestic eggs,,,,,,,,,
specialty bar,whole milk,cling film/bags,,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
dessert,mayonnaise,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
soda,instant coffee,,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
meat,onions,misc. beverages,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
hard cheese,canned beer,,,,,,,,,
frankfurter,pastry,salt,,,,,,,,
white bread,liquor (appetizer),shopping bags,,,,,,,,
sausage,soda,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
other vegetables,margarine,,,,,,,,,
pip fruit,root vegetables,frozen meals,hamburger meat,sugar,soda,spread cheese,,,,
sausage,processed cheese,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
hamburger meat,root vegetables,bottled beer,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
pastry,meat,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
pip fruit,soda,,,,,,,,,
sausage,dessert,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
whole milk,dessert,,,,,,,,,
oil,soda,waffles,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
curd,bottled water,tropical fruit,other vegetables,,,,,,,
frozen dessert,canned beer,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
soda,dish cleaner,,,,,,,,,
beverages,rolls/buns,soups,white bread,,,,,,,
waffles,whole milk,,,,,,,,,
pip fruit,butter,,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
canned beer,cake bar,newspapers,pastry,baking powder,yogurt,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
yogurt,pip fruit,misc. beverages,,,,,,,,
chicken,onions,,,,,,,,,
misc. beverages,yogurt,misc. beverages,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
sausage,root vegetables,bottled beer,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
tropical fruit,curd,whole milk,other vegetables,,,,,,,
shopping bags,sausage,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
turkey,misc. beverages,bottled beer,butter,bottled water,margarine,seasonal products,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
beef,whole milk,pet care,citrus fruit,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
other vegetables,other vegetables,rolls/buns,,,,,,,,
soft cheese,white wine,,,,,,,,,
chicken,cat food,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
vinegar,dog food,,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
whole milk,newspapers,,,,,,,,,
bottled beer,sausage,cream cheese ,frozen vegetables,,,,,,,
soda,other vegetables,,,,,,,,,
UHT-milk,rice,newspapers,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
sausage,pork,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
root vegetables,butter,,,,,,,,,
tropical fruit,soda,rolls/buns,,,,,,,,
ham,coffee,,,,,,,,,
soda,soda,canned fruit,processed cheese,soda,shopping bags,,,,,
chocolate marshmallow,ready soups,,,,,,,,,
frozen potato products,chocolate marshmallow,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
frankfurter,yogurt,,,,,,,,,
sausage,pet care,,,,,,,,,
bottled water,bottled water,,,,,,,,,
whole milk,soda,bottled water,pastry,,,,,,,
whole milk,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
cat food,other vegetables,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
pip fruit,candles,,,,,,,,,
butter milk,soda,ham,bottled beer,detergent,,,,,,
cat food,coffee,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
whole milk,yogurt,,,,,,,,,
mustard,zwieback,,,,,,,,,
hamburger meat,tropical fruit,bottled water,whipped/sour cream,flour,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
pork,cat food,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
canned beer,rolls/buns,baking powder,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
curd,whole milk,,,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
herbs,curd,,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
ham,whipped/sour cream,soda,light bulbs,,,,,,,
waffles,chocolate,,,,,,,,,
beef,white bread,,,,,,,,,
specialty bar,soda,,,,,,,,,
cat food,whole milk,chocolate,,,,,,,,
pastry,chocolate,flour,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
beef,waffles,domestic eggs,,,,,,,,
butter,grapes,bottled water,,,,,,,,
root vegetables,yogurt,,,,,,,,,
snack products,soups,,,,,,,,,
chicken,pastry,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
curd,newspapers,,,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
pip fruit,frankfurter,whole milk,cream cheese ,,,,,,,
other vegetables,margarine,,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
tropical fruit,coffee,red/blush wine,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
other vegetables,dishes,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
soda,sausage,UHT-milk,soda,rolls/buns,,,,,,
pastry,frozen fish,,,,,,,,,
softener,salt,whole milk,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
pastry,detergent,,,,,,,,,
beef,instant coffee,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
white bread,popcorn,,,,,,,,,
other vegetables,soda,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
onions,long life bakery product,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
beef,condensed milk,,,,,,,,,
whole milk,rolls/buns,ice cream,brown bread,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,grapes,whole milk,pastry,white bread,,,,,,
baking powder,root vegetables,,,,,,,,,
root vegetables,liquor,,,,,,,,,
specialty chocolate,yogurt,rolls/buns,misc. beverages,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
root vegetables,pickled vegetables,,,,,,,,,
UHT-milk,berries,,,,,,,,,
beef,sliced cheese,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
newspapers,pastry,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
domestic eggs,sugar,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
salty snack,whole milk,softener,Instant food products,,,,,,,
spread cheese,root vegetables,,,,,,,,,
citrus fruit,dessert,bottled water,,,,,,,,
white bread,rolls/buns,whipped/sour cream,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
sausage,tea,,,,,,,,,
margarine,cereals,,,,,,,,,
ham,tropical fruit,,,,,,,,,
misc. beverages,waffles,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
chicken,salty snack,,,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
sausage,pork,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
beverages,soda,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
pork,brown bread,,,,,,,,,
chicken,other vegetables,bathroom cleaner,chicken,grapes,fruit/vegetable juice,fruit/vegetable juice,soda,,,
yogurt,soda,yogurt,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
UHT-milk,ice cream,specialty bar,,,,,,,,
other vegetables,whole milk,,,,,,,,,
grapes,other vegetables,,,,,,,,,
other vegetables,butter,,,,,,,,,
berries,pastry,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
canned beer,turkey,pastry,bottled water,butter,,,,,,
coffee,baking powder,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
other vegetables,whole milk,,,,,,,,,
dishes,tropical fruit,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
rolls/buns,oil,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
baking powder,soda,beverages,,,,,,,,
